Operations;"{0}";"{1}";"{2}";"{0,1}";"{1,2}";"{0,2}";"T'_2";"T'_1";"T'_0";"phi";"psi_0";"psi_1";"psi_2";"psi’_0";"psi’_1";"psi’_2";"phi’_3";"phi’_1";"phi’_2";"phi’_4";"phi’_5";"phi’_0"
h;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
h0;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
h1;0;1;0;1;1;0;1;0;1;0;0;1;0;0;0;0;0;0;0;1;0;0
h2;0;0;1;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;0;1;0
half;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
g;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1
g322;1;1;1;1;1;1;0;1;1;0;0;0;1;1;1;1;0;0;0;0;1;1
g332;1;1;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0
g333;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1;1;1;1
g1;1;1;1;1;0;1;1;1;0;0;1;0;0;0;1;1;1;1;0;0;0;0
g2;1;1;0;1;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0
g3;1;0;0;1;0;1;1;1;0;0;1;0;0;0;0;0;1;0;0;0;0;0
g4;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0
g5;1;1;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
g6;0;0;1;1;0;0;1;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0
g7;1;0;0;1;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
g8;0;0;0;1;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0
g9;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0
g10;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0
galf;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;0;1;1;0;0;1
gbet;1;1;1;1;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;1;1;0
ggam;1;1;1;1;1;1;1;1;1;0;1;0;0;1;1;1;1;1;0;0;0;0
gdel;1;1;1;1;1;1;1;1;0;0;0;0;0;0;1;1;1;1;0;0;0;0
geta;1;1;1;1;1;1;0;0;1;0;1;0;0;1;0;0;1;0;0;0;0;0
gtet;1;1;1;1;1;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;0;0
gkap;1;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1
glan;1;1;1;1;1;1;1;1;1;0;0;0;1;1;1;1;1;1;1;1;1;1
